company_name,job_title,job_description,salary_min,salary_max
N/A,Software Development Engineer 2-6,"Tasks: * Build and maintain scalable microservices; * Collaborate on solution design; * Contribute to CI/CD pipelines; * Debug and troubleshoot production issues; * Develop public APIs; * Document technical processes; * Work with cross-functional teams; * Write automated tests
Skills: [AWS][CI/CD][Docker][Git][Grafana][GRPC][Java][Kafka][Kubernetes][PostgreSQL][Prometheus][REST APIs][Spring Boot]",158000,210000
N/A,Staff Facilities Engineer (Electrical),"Tasks: * Conduct load analysis and risk assessments; * Coordinate with contractors and stakeholders; * Develop preventive maintenance plans; * Ensure compliance with GMP, FDA, and safety standards; * Implement engineering improvements and digitalization; * Lead electrical project management; * Maintain electrical documentation and drawings; * Manage contractor services and oversee system efficiency; * Mentor junior engineers; * Participate in certification and validation projects; * Support electrical systems design and installation; * Support facility upgrades and utility expansions; * Support sustainability and CSR initiatives
Skills: [Analytics][AutoCAD][BMS][Building control systems][Cause analysis][CGMP][Control Systems][Digitalization][EAM][Electrical Engineering][Electrical load analysis][EMS][Engineering Standards][Environmental health][Environmental Health and Safety][FDA standards][Grounding][Health and Safety][HVAC][ISO][Lighting design][Load analysis][Mechanical Systems][MS Excel][OHSAS][Power Distribution][PowerPoint][Power Systems][Project Management][Root Cause Analysis][SAP][Standby power systems][Troubleshooting][Wiring]
Perks: + Career development; + CSR initiatives; + Global standards alignment; + Inclusive environment",N/A,N/A
N/A,Senior Software Engineer,"Tasks: * Adapt to changing project priorities; * Apply data structures, algorithms, design patterns, and architecture principles; * Build cloud native, event-driven, scalable distributed systems; * Collaborate effectively within diverse teams; * Create and maintain REST APIs, GraphQL, gRPC services; * Design and review high-performance reactive code; * Develop and optimize database schemas in SQL, NoSQL, Graph databases; * Follow Agile methodologies and documentation standards; * Implement solutions using cloud platforms like Azure, GCP, AWS; * Use version control and testing tools
Skills: [12-Factor App][Agile Scrum][Algorithms][Apache Druid][AWS][Azure][BDD][Blackduck][C#][Cassandra][Clean architecture][Cucumber][Data Structures][Design Patterns][Domain-Driven Design][Event Driven][Event-driven microservices][GCP][GitHub][GitLab][GraphQL][GRPC][Kafka][Kubernetes][Markdown][MongoDB][.NET][PGSQL][Polaris][Postman][Redis][REST API][SOLID][SonarQube][SQL][Swagger][TDD][XUnit]
Perks: + Collaborative culture; + International work environment; + Professional training",N/A,N/A
N/A,Java Fullstack Developer - 2-4 Years,"Tasks: * Assess risks and ensure compliance; * Communicate effectively with team members and stakeholders; * Complete technical assessments and certifications; * Conduct systems analysis and programming; * Consult with users and teams on system issues; * Contribute to project schedules and feature prioritization; * Design, develop, test, and deploy applications; * Engage in digital application development and support activities; * Participate in design discussions and documentation; * Respond to technical issues and questions; * Suggest process improvements and drive innovation; * Understand system functionality and business context; * Write code for features and applications
Skills: [Algorithms][Angular][CI/CD][CI/CD pipelines][Containers][CSS][Data Structures][Docker][Git][Hibernate][HTML5][J2EE][Java][JavaScript][JQuery][Microservices][NodeJs][Object-Oriented][Object-oriented programming][Oracle][ReactJS][REST API][Spring Boot][SQL][Unit Testing][Web Services]",N/A,N/A
N/A,IT Infrastructure Engineer,"Tasks: * Apply patches and updates; * Build and support servers and applications; * Collaborate with security and business teams; * Configure Active Directory and Exchange; * Define and enforce security policies; * Implement backup and disaster recovery; * Maintain system documentation; * Manage and implement infrastructure; * Monitor system performance; * Provide 24/7 support; * Support Azure cloud and Office 365; * Support global IT systems; * Support Windows servers and VMware; * Travel as needed; * Troubleshoot hardware/software issues
Skills: [Active Directory][Azure Cloud][Backup and Disaster Recovery][Cisco Networking][Citrix][Cloud infrastructure][Disaster Recovery][Documentation][Exchange][Firewall Configuration][Networking][Powershell][Security][Security monitoring][Server management][Troubleshooting][VMware ESX][Windows server]
Perks: + Global support environment; + Travel opportunities",N/A,N/A
N/A,Software System Engineer,"Tasks: * Analyze system anomalies and determine root causes; * Collaborate with cross-functional teams on requirements and risk management; * Conduct system performance and reliability evaluations; * Coordinate system partitioning and integration; * Design system architecture and oversee implementation; * Drive continuous improvement initiatives; * Ensure compliance with regulatory standards; * Gather and review system requirements; * Improve engineering processes and methodologies; * Lead investigations into technical complaints; * Plan and execute system testing and verification; * Propose design improvements for system reliability; * Provide training and guidance on data-driven decision making; * Support product development from concept to launch
Skills: [CI/CD][Cross-Functional Collaboration][Cybersecurity][Data Analysis][Design Recommendations][Development Lifecycle][Product Development][Product Development Lifecycle][Quality Standards][Regulatory Compliance][Requirements Analysis][Risk Management][Simulation Software][System design][System Integration][Systems engineering][Troubleshooting]",N/A,N/A
N/A,Junior Automation Tester,"Tasks: * Create review and recommend test plans; * Develop testing strategies; * Execute automated testing packs; * Identify and create regression and smoke test suites; * Participate in agile ceremonies; * Prioritize and track defects; * Work with development and product teams
Skills: [Agile methodology][API Testing][Automation frameworks][Boundary-value analysis][Database querying][Design techniques][Equivalence partitioning][Full Stack][Full Stack Testing][Java][Python][Swagger][Test Design][Test design techniques][UI Testing][Value Analysis]
Perks: + Continuous learning resources; + Family perks; + Flexible time off; + Health & wellness benefits; + Referral incentives; + Retail discounts; + Retirement planning",N/A,N/A
N/A,Senior Technical Support Engineer (Integration),"Tasks: * Answer technical questions about ServiceNow platform; * Assist with network, authentication, API, email troubleshooting; * Coordinate with teams for complex cases; * Guide customers during critical issues; * Provide input on process and product improvements; * Resolve technical cases; * Support platform integration issues; * Troubleshoot unexpected behaviors; * Use diagnostic tools to isolate issues; * Utilize communication channels like web, chat, email, phone
Skills: [AI integration][Authentication Protocols][Chat Support][Communication skills][Customer support][Diagnostic tools][Email support][Empathy][Java][JavaScript][Network Troubleshooting][Problem Solving][REST API][Servicenow Platform][SMTP email][Telephone support][Troubleshooting][Web Technologies][Workflow automation]
Perks: + Flexible work arrangements; + Inclusive environment; + Remote work options",N/A,N/A
N/A,Teamcenter Systems Administrator (Onsite),"Tasks: * Collaborate with IT and external support teams; * Conduct user training and onboarding; * Customize and enhance Teamcenter workflows; * Develop system documentation and training materials; * Install and configure Teamcenter PLM software; * Integrate Teamcenter with enterprise applications; * Maintain system performance and stability; * Manage data migration, cleansing, and archiving; * Manage user accounts and permissions; * Monitor system security and data integrity; * Participate in PLM projects and upgrades; * Perform system upgrades and patches; * Support system troubleshooting and error resolution; * Troubleshoot system and user issues
Skills: [Active Workspace][CAD integrations][Data Management][Data upload][Export-Import][IPS Data Upload][Performance Tuning][Perl][PLM system administration][PLMXML][Python][SQL][System Administration][System configuration][System Integration][System Performance][System performance tuning][Teamcenter architecture][Troubleshooting][Visualization][Workflow customization]",105000,125000
N/A,Database Engineer- Sr. Consultant level- NoSQL,"Tasks: * Architect and design MongoDB Cassandra and Db2 deployment standards; * Collaborate with development teams on database design; * Develop and maintain database automation scripts using Python and Ansible; * Develop backup and recovery strategies for databases; * Implement Infrastructure as Code with Terraform, CloudFormation, or Ansible; * Maintain database documentation and policies; * Provide technical expertise on database technologies; * Set up and monitor database health and performance; * Troubleshoot and resolve database issues at Level 3 support; * Work independently on complex database projects
Skills: [Ansible Automation][AWS][Azure][Backup utilities][CloudFormation][Database Architecture][Database monitoring][Data Modeling][DB2][DevOps GIT][Google Cloud][Grafana][Indexing][Jenkins][Network Security][NoSQL Cassandra][NoSQL (MongoDB][NoSQL workbench][Performance optimization][Prometheus][Python Scripting][Query Optimization][Storage management][Terraform][Troubleshooting][Unix/Linux]
Perks: + Comprehensive benefits; + Hybrid work; + Travel opportunities",135000,196000
